row,name,is_winner,win_pct_bps,win_pct_gps,win_pct_deuce,serve_win_pct_bps,serve_win_pct_gps,serve_pct_win_deuce,pct_ufcd_err,pct_opponent_fcd_err,pct_win_long_rallies,pct_win_long_rallies_initiated_by_opponent,pct_fcd_error_pts_rally,pct_unfcd_error_rally,pct_pts_won_af_return,pct_returnable,pct_in_play_return,pct_pts_won_fh_return,pct_pts_won_bh_return,pct_ace,pct_unreturnable_serve,pct_fcd_err_serve,pct_pts_won_sv_in_leq_3s_serve,pct_shots_cross,pct_shots_downM,pct_shots_downL,pct_shots_insideO,pct_shots_insideI,avg_win_pct_long_rally,var_win_pct_long_rally
244,Roger_Federer,1,0.5,0.25,0.888888889,0.111111111,1,0.2,0.48,0.806451613,0.518518519,0.78125,0.205357143,0.214285714,0.464285714,0.803571429,0.803571429,0,0.461538462,0.107142857,0,0.125,0.339285714,0.418848168,0.35078534,0.109947644,0.094240838,0.02617801,0.042092354,0.137087225
245,Novak_Djokovic,0,0.25,0.25,0.857142857,0.285714286,0.666666667,0.166666667,0.253731343,0.68,0.388888889,0.666666667,0.188034188,0.145299145,0.25,0.642857143,0.642857143,0.375,0.222222222,0.032786885,0.081967213,0.147540984,0.295081967,0.423611111,0.368055556,0.083333333,0.111111111,0.013888889,0.051136622,0.01099978
246,Novak_Djokovic,1,0.47715736,0.47715736,0.818181818,0.272727273,0.538071066,0.538071066,0.451612903,0.696428571,0.608695652,0.733333333,0.24137931,0.16091954,0.434782609,0.760869565,0.760869565,0.4375,0.384615385,0.146341463,0,0.341463415,0.609756098,0.5,0.190909091,0.154545455,0.136363636,0.018181818,0.082858248,0.023524491
247,Roger_Federer,0,0.636363636,0.090909091,0.384615385,0.153846154,0.5,0.1875,0.438356164,0.740740741,0.428571429,0.80952381,0.212598425,0.251968504,0.307692308,0.711538462,0.673076923,0.444444444,0.25,0.053333333,0,0.133333333,0.266666667,0.358108108,0.317567568,0.121621622,0.182432432,0.02027027,0.021999475,0.028276527
248,Novak_Djokovic,0,0.6,0,0.777777778,0.333333333,0.625,0.25,0.340206186,0.694736842,0.516129032,0.830188679,0.208333333,0.171875,0.329787234,0.755319149,0.723404255,0.361702128,0.333333333,0.081632653,0,0.183673469,0.367346939,0.482142857,0.214285714,0.128571429,0.164285714,0.010714286,0.061467689,0.0521662
249,Rafael_Nadal,1,0.5,0,0.652173913,0.130434783,0.777777778,0.111111111,0.284210526,0.603960396,0.559322034,0.73015873,0.178571429,0.137755102,0.343137255,0.794117647,0.754901961,0.35,0.362068966,0.031914894,0,0.191489362,0.340425532,0.431924883,0.295774648,0.126760563,0.117370892,0.028169014,0.037457508,0.027746114
250,Novak_Djokovic,1,0.47715736,0.47715736,0.909090909,0.090909091,1,1,0.318181818,0.64516129,0.722222222,0.838709677,0.179245283,0.132075472,0.366666667,0.633333333,0.6,0.285714286,0.428571429,0.086956522,0,0.173913043,0.369565217,0.431137725,0.161676647,0.185628743,0.203592814,0.017964072,0.058039768,0.027092041
251,Roger_Federer,0,0.7,0.2,0.631578947,0.263157895,0.692307692,0.230769231,0.305555556,0.806122449,0.522727273,0.75,0.218446602,0.160194175,0.298076923,0.576923077,0.528846154,0.3,0.354166667,0.029411765,0.039215686,0.147058824,0.37254902,0.161434978,0.147982063,0.02690583,0.556053812,0.107623318,0.043361755,0.057227662
252,Grigor_Dimitrov,0,0.4,0,0.533333333,0.2,0.727272727,0.181818182,0.367088608,0.692307692,0.333333333,0.781818182,0.138888889,0.201388889,0.294117647,0.764705882,0.735294118,0.35,0.257142857,0.092105263,0.065789474,0.092105263,0.342105263,0.536231884,0.173913043,0.050724638,0.188405797,0.050724638,0.02327042,0.07023581
253,John_Isner,0,0.75,0.3125,0.529411765,0.235294118,0.545454545,0.181818182,0.299065421,0.766233766,0.324324324,0.575,0.163043478,0.173913043,0.191780822,0.534246575,0.534246575,0.25,0.172413793,0.108108108,0,0.234234234,0.378378378,0.317880795,0.238410596,0.132450331,0.271523179,0.039735099,0.00819586,0.01763337
